User,Block,Trial,A,B,Duration,Hit
5,1,0,2,9,2587,TRUE
5,1,1,1,9,1968,TRUE
5,1,2,1,9,1620,TRUE
5,1,3,1,9,1919,TRUE
5,1,4,0,9,3505,TRUE
5,1,5,0,9,1826,TRUE
5,1,6,2,9,2286,TRUE
5,1,7,1,9,1185,TRUE
5,1,8,2,9,1953,TRUE
5,1,9,2,9,1369,TRUE
5,1,10,0,9,4153,TRUE
5,2,0,0,4,1203,TRUE
5,2,1,1,4,699,TRUE
5,2,2,2,4,1791,TRUE
5,2,3,2,4,1537,TRUE
5,2,4,1,4,782,TRUE
5,2,5,0,4,1228,FALSE
5,2,6,0,4,1307,TRUE
5,2,7,1,4,591,TRUE
5,2,8,0,4,1269,TRUE
5,2,9,2,4,3128,TRUE
5,2,10,2,4,2384,TRUE
5,3,0,2,25,2183,TRUE
5,3,1,0,25,1164,TRUE
5,3,2,0,25,1259,TRUE
5,3,3,2,25,4959,TRUE
5,3,4,1,25,971,TRUE
5,3,5,0,25,1231,TRUE
5,3,6,0,25,1291,TRUE
5,3,7,2,25,1516,TRUE
5,3,8,2,25,2399,TRUE
5,3,9,1,25,992,TRUE
5,3,10,1,25,683,TRUE
5,4,0,2,16,2469,TRUE
5,4,1,2,16,2112,TRUE
5,4,2,0,16,1153,TRUE
5,4,3,1,16,687,TRUE
5,4,4,0,16,751,TRUE
5,4,5,0,16,1027,TRUE
5,4,6,1,16,529,TRUE
5,4,7,2,16,1777,TRUE
5,4,8,0,16,1152,TRUE
5,4,9,2,16,3423,TRUE
5,4,10,1,16,464,TRUE
